Term: 	 DF 	 [DOCID, TF, Max_TF, DocLen] 
machel:	1	[[423, 1, 10, 228]]
machin:	20	[[276, 1, 6, 147], [325, 1, 5, 163], [476, 1, 7, 170], [479, 1, 5, 116], [493, 3, 9, 222], [506, 1, 4, 91], [624, 1, 6, 169], [649, 4, 6, 170], [650, 1, 2, 55], [704, 5, 7, 231], [717, 1, 10, 256], [739, 1, 10, 228], [742, 2, 6, 81], [966, 1, 9, 167], [987, 2, 8, 176], [1088, 1, 4, 146], [1132, 1, 2, 72], [1232, 1, 5, 78], [1289, 1, 8, 178], [1388, 1, 3, 72]]
machnumb:	1	[[123, 1, 7, 178]]
mackenzi:	1	[[294, 1, 11, 202]]
macneal:	1	[[425, 1, 5, 82]]
made:	352	[[1, 2, 5, 99], [4, 1, 4, 58], [9, 2, 9, 244], [10, 1, 3, 46], [13, 1, 5, 99], [14, 2, 8, 271], [24, 1, 9, 186], [28, 1, 8, 111], [46, 1, 3, 63], [49, 2, 12, 271], [52, 1, 7, 128], [55, 1, 5, 100], [56, 1, 6, 152], [64, 1, 13, 101], [66, 1, 10, 127], [70, 1, 10, 154], [71, 1, 5, 62], [74, 1, 3, 65], [75, 1, 5, 80], [78, 1, 6, 142], [79, 1, 8, 121], [80, 1, 13, 220], [82, 1, 11, 226], [83, 1, 8, 213], [86, 1, 4, 87], [96, 1, 11, 179], [103, 1, 3, 91], [109, 1, 6, 119], [113, 1, 5, 90], [117, 2, 3, 95], [119, 1, 2, 57], [124, 1, 6, 151], [125, 1, 9, 156], [128, 1, 6, 117], [129, 2, 11, 176], [130, 1, 4, 61], [132, 1, 12, 226], [139, 1, 5, 105], [140, 1, 10, 250], [149, 1, 10, 190], [154, 1, 3, 65], [156, 1, 10, 181], [163, 1, 10, 281], [167, 1, 5, 87], [170, 2, 10, 158], [172, 1, 7, 160], [173, 1, 12, 220], [175, 2, 3, 48], [179, 2, 8, 177], [184, 1, 5, 104], [185, 2, 9, 218], [187, 1, 10, 204], [188, 2, 8, 159], [190, 1, 9, 115], [191, 1, 7, 133], [193, 1, 15, 298], [196, 2, 5, 121], [199, 5, 16, 248], [202, 2, 13, 207], [203, 1, 3, 56], [204, 2, 6, 132], [205, 1, 9, 205], [209, 1, 8, 162], [212, 1, 10, 259], [214, 1, 5, 93], [216, 1, 9, 184], [221, 2, 9, 119], [222, 1, 8, 141], [237, 1, 4, 103], [240, 1, 11, 171], [241, 1, 2, 55], [244, 2, 19, 326], [245, 1, 9, 111], [247, 1, 7, 130], [251, 1, 3, 66], [252, 1, 8, 188], [256, 1, 5, 93], [260, 1, 4, 82], [261, 1, 8, 122], [265, 1, 3, 64], [267, 1, 7, 130], [272, 1, 19, 345], [277, 1, 10, 176], [279, 1, 7, 81], [280, 3, 6, 96], [289, 1, 9, 166], [296, 1, 7, 177], [300, 1, 8, 178], [301, 1, 4, 52], [303, 1, 4, 68], [304, 2, 6, 201], [306, 1, 6, 110], [307, 1, 4, 102], [315, 2, 12, 343], [317, 1, 6, 151], [318, 2, 5, 107], [321, 1, 3, 80], [327, 1, 4, 66], [334, 1, 9, 173], [343, 1, 3, 87], [347, 1, 4, 96], [354, 1, 5, 95], [360, 1, 5, 113], [364, 1, 10, 251], [367, 1, 6, 86], [370, 1, 4, 139], [375, 2, 8, 162], [380, 1, 3, 85], [381, 1, 9, 168], [382, 1, 4, 39], [385, 1, 2, 44], [390, 1, 4, 89], [391, 1, 6, 98], [399, 1, 3, 52], [401, 1, 9, 234], [406, 1, 7, 154], [407, 1, 3, 49], [410, 1, 4, 110], [413, 1, 4, 110], [421, 3, 5, 121], [431, 1, 5, 122], [433, 1, 19, 289], [442, 2, 7, 153], [443, 1, 6, 158], [449, 1, 4, 74], [464, 2, 9, 136], [466, 1, 6, 149], [474, 1, 6, 110], [476, 1, 7, 170], [479, 1, 5, 116], [482, 1, 3, 47], [491, 1, 5, 91], [506, 1, 4, 91], [513, 1, 3, 84], [514, 1, 3, 74], [516, 1, 5, 79], [538, 1, 7, 119], [546, 2, 4, 103], [550, 1, 5, 95], [556, 1, 4, 129], [561, 2, 7, 157], [567, 1, 6, 126], [569, 1, 7, 202], [575, 1, 5, 191], [583, 1, 4, 101], [585, 1, 4, 81], [588, 1, 14, 224], [593, 1, 9, 142], [594, 1, 3, 45], [597, 1, 3, 71], [598, 1, 3, 51], [600, 2, 8, 130], [601, 1, 6, 163], [605, 1, 6, 123], [608, 1, 5, 100], [612, 1, 4, 80], [625, 2, 7, 216], [631, 1, 3, 60], [634, 1, 4, 107], [635, 1, 9, 144], [636, 3, 11, 181], [640, 4, 17, 241], [656, 1, 6, 167], [657, 1, 6, 84], [658, 2, 11, 173], [663, 1, 3, 92], [670, 1, 2, 43], [678, 1, 5, 73], [679, 1, 5, 131], [686, 1, 7, 173], [688, 1, 10, 193], [692, 2, 8, 151], [693, 2, 7, 134], [694, 2, 7, 138], [695, 3, 23, 257], [696, 1, 11, 216], [701, 1, 12, 188], [710, 1, 18, 193], [711, 2, 5, 106], [712, 1, 10, 223], [713, 1, 4, 122], [716, 1, 4, 70], [721, 2, 15, 373], [722, 1, 4, 121], [723, 1, 4, 89], [725, 3, 3, 86], [727, 1, 6, 150], [746, 1, 4, 96], [749, 1, 7, 109], [753, 1, 10, 175], [755, 1, 5, 101], [757, 2, 14, 233], [760, 2, 6, 123], [761, 1, 4, 62], [768, 1, 5, 60], [773, 1, 8, 224], [781, 2, 6, 162], [782, 2, 10, 159], [785, 1, 6, 110], [791, 1, 3, 69], [792, 1, 7, 304], [794, 2, 8, 225], [795, 1, 2, 42], [797, 2, 9, 241], [798, 1, 15, 432], [800, 1, 6, 117], [801, 1, 7, 150], [805, 1, 7, 167], [807, 1, 6, 93], [808, 4, 5, 132], [810, 2, 6, 128], [811, 2, 13, 224], [814, 1, 6, 149], [825, 1, 9, 168], [827, 1, 12, 230], [829, 1, 3, 111], [830, 1, 5, 139], [844, 1, 6, 152], [845, 1, 9, 159], [847, 2, 3, 74], [859, 1, 15, 199], [861, 1, 5, 88], [863, 1, 3, 73], [865, 1, 4, 94], [876, 1, 9, 125], [892, 2, 3, 64], [893, 1, 5, 80], [899, 1, 8, 124], [900, 1, 4, 64], [901, 1, 3, 98], [903, 1, 9, 154], [904, 3, 8, 128], [905, 2, 5, 70], [911, 2, 4, 84], [917, 1, 7, 220], [921, 1, 7, 132], [922, 1, 3, 86], [924, 1, 11, 149], [928, 2, 8, 290], [929, 1, 5, 111], [932, 1, 4, 58], [941, 1, 6, 74], [947, 1, 11, 229], [956, 1, 5, 92], [961, 2, 4, 120], [967, 1, 4, 96], [968, 1, 8, 121], [970, 1, 8, 141], [971, 1, 8, 122], [972, 1, 7, 140], [974, 1, 9, 141], [977, 1, 7, 155], [978, 1, 2, 61], [979, 1, 6, 113], [981, 1, 5, 93], [985, 1, 4, 112], [991, 1, 12, 176], [992, 2, 14, 231], [993, 1, 10, 166], [996, 2, 12, 211], [997, 2, 17, 139], [1000, 1, 4, 150], [1002, 1, 5, 134], [1004, 1, 4, 101], [1010, 1, 7, 110], [1014, 2, 3, 38], [1015, 1, 7, 97], [1019, 4, 10, 166], [1022, 1, 3, 51], [1039, 2, 9, 194], [1040, 1, 14, 364], [1043, 1, 5, 120], [1047, 1, 11, 260], [1063, 1, 5, 61], [1064, 1, 7, 143], [1065, 1, 4, 110], [1066, 1, 11, 255], [1071, 1, 5, 76], [1076, 2, 3, 71], [1080, 1, 4, 91], [1086, 1, 4, 58], [1087, 1, 7, 94], [1092, 1, 10, 202], [1099, 1, 4, 54], [1104, 2, 9, 244], [1108, 1, 8, 181], [1109, 1, 5, 104], [1128, 1, 7, 87], [1136, 1, 5, 126], [1144, 2, 9, 215], [1145, 1, 5, 77], [1147, 1, 13, 304], [1151, 2, 3, 97], [1156, 2, 10, 138], [1162, 3, 5, 109], [1163, 3, 5, 134], [1164, 3, 7, 184], [1171, 1, 4, 57], [1200, 1, 3, 115], [1211, 1, 4, 103], [1213, 1, 10, 175], [1216, 1, 6, 135], [1219, 1, 6, 102], [1220, 2, 6, 154], [1222, 1, 8, 140], [1230, 1, 6, 137], [1232, 1, 5, 78], [1236, 1, 3, 65], [1239, 3, 19, 289], [1241, 1, 5, 115], [1248, 1, 12, 265], [1251, 1, 9, 135], [1259, 1, 7, 121], [1264, 1, 8, 163], [1268, 1, 10, 247], [1271, 1, 8, 207], [1274, 1, 9, 183], [1275, 1, 6, 77], [1284, 1, 6, 112], [1288, 1, 4, 77], [1289, 1, 8, 178], [1290, 1, 8, 149], [1291, 2, 14, 197], [1300, 1, 9, 204], [1301, 1, 6, 120], [1302, 1, 6, 128], [1306, 1, 2, 47], [1310, 2, 6, 197], [1311, 1, 3, 57], [1313, 2, 24, 459], [1314, 1, 5, 59], [1315, 1, 8, 108], [1319, 1, 9, 186], [1320, 1, 4, 144], [1324, 1, 5, 122], [1325, 1, 10, 238], [1335, 1, 9, 151], [1336, 1, 7, 137], [1337, 1, 5, 109], [1344, 2, 10, 157], [1348, 1, 4, 65], [1351, 2, 10, 231], [1352, 2, 11, 164], [1353, 1, 4, 93], [1354, 1, 5, 116], [1355, 1, 6, 149], [1379, 1, 3, 80], [1380, 2, 15, 224], [1383, 1, 8, 151], [1391, 1, 8, 153], [1392, 1, 10, 201], [1398, 1, 11, 144]]
maeder:	2	[[468, 1, 4, 76], [469, 1, 3, 74]]
mag:	3	[[771, 1, 3, 76], [777, 1, 6, 111], [778, 1, 5, 50]]
magasarian:	1	[[819, 1, 4, 77]]
mager:	8	[[16, 1, 6, 96], [17, 1, 5, 105], [271, 1, 2, 36], [358, 1, 6, 68], [502, 1, 3, 39], [974, 1, 9, 141], [1207, 1, 7, 127], [1281, 1, 7, 153]]
maglieri:	4	[[805, 1, 7, 167], [806, 1, 8, 194], [807, 1, 6, 93], [810, 1, 6, 128]]
magnesium:	1	[[856, 1, 15, 184]]
magnet:	39	[[33, 5, 7, 186], [34, 1, 6, 132], [61, 5, 5, 86], [88, 3, 4, 99], [104, 3, 5, 87], [112, 2, 6, 104], [208, 5, 5, 87], [267, 6, 7, 130], [268, 4, 5, 93], [269, 5, 5, 85], [270, 6, 8, 149], [296, 3, 7, 177], [297, 3, 4, 102], [298, 2, 2, 41], [299, 1, 3, 95], [402, 2, 5, 82], [403, 1, 4, 76], [407, 2, 3, 49], [408, 2, 3, 50], [437, 1, 2, 56], [447, 1, 6, 82], [448, 1, 5, 108], [449, 1, 4, 74], [450, 1, 4, 59], [490, 1, 5, 61], [500, 1, 4, 79], [531, 2, 5, 88], [607, 1, 2, 38], [653, 5, 5, 99], [967, 1, 4, 96], [1181, 3, 6, 96], [1221, 3, 3, 75], [1222, 3, 8, 140], [1236, 2, 3, 65], [1238, 5, 5, 118], [1249, 1, 3, 61], [1253, 2, 3, 69], [1273, 3, 6, 107], [1282, 4, 5, 122]]
magneto:	4	[[33, 4, 7, 186], [34, 3, 6, 132], [270, 1, 8, 149], [297, 1, 4, 102]]
magnetoacoust:	1	[[297, 2, 4, 102]]
magnetoaerodynam:	2	[[297, 1, 4, 102], [1282, 1, 5, 122]]
magnetofluidmechan:	1	[[967, 1, 4, 96]]
magnetoga:	1	[[939, 1, 2, 76]]
magnetogasdynam:	2	[[33, 1, 7, 186], [967, 1, 4, 96]]
magnetohydrodynam:	25	[[44, 1, 7, 195], [87, 2, 4, 91], [88, 1, 4, 99], [190, 2, 9, 115], [208, 1, 5, 87], [268, 1, 5, 93], [270, 2, 8, 149], [296, 1, 7, 177], [299, 1, 3, 95], [402, 1, 5, 82], [403, 1, 4, 76], [408, 1, 3, 50], [450, 2, 4, 59], [490, 1, 5, 61], [500, 1, 4, 79], [607, 2, 2, 38], [653, 1, 5, 99], [1160, 1, 8, 87], [1181, 2, 6, 96], [1194, 2, 5, 112], [1203, 2, 10, 146], [1206, 1, 4, 98], [1222, 1, 8, 140], [1273, 1, 6, 107], [1328, 1, 8, 161]]
magnetoplasma:	1	[[968, 1, 8, 121]]
magnifi:	2	[[40, 1, 5, 138], [1035, 1, 12, 178]]
magnitud:	73	[[23, 1, 6, 95], [48, 1, 6, 87], [62, 1, 10, 201], [80, 1, 13, 220], [88, 2, 4, 99], [94, 1, 11, 307], [123, 1, 7, 178], [133, 1, 11, 140], [151, 1, 11, 188], [162, 1, 9, 145], [218, 2, 7, 180], [223, 1, 2, 35], [252, 1, 8, 188], [268, 2, 5, 93], [272, 2, 19, 345], [284, 1, 3, 72], [329, 1, 17, 434], [334, 1, 9, 173], [346, 1, 5, 132], [406, 1, 7, 154], [448, 2, 5, 108], [500, 1, 4, 79], [504, 1, 10, 143], [571, 1, 8, 166], [576, 1, 13, 324], [589, 1, 13, 163], [625, 1, 7, 216], [642, 1, 4, 57], [646, 1, 7, 193], [673, 1, 27, 276], [683, 1, 8, 195], [696, 1, 11, 216], [697, 1, 11, 131], [721, 1, 15, 373], [753, 1, 10, 175], [798, 1, 15, 432], [799, 1, 8, 182], [822, 2, 5, 154], [825, 1, 9, 168], [826, 3, 10, 221], [896, 1, 5, 68], [899, 1, 8, 124], [902, 1, 7, 150], [903, 1, 9, 154], [927, 1, 12, 290], [928, 1, 8, 290], [934, 1, 6, 145], [969, 1, 4, 64], [970, 1, 8, 141], [987, 1, 8, 176], [991, 1, 12, 176], [1002, 1, 5, 134], [1005, 1, 3, 84], [1032, 1, 6, 79], [1035, 2, 12, 178], [1036, 1, 4, 82], [1039, 1, 9, 194], [1041, 1, 6, 99], [1059, 1, 6, 154], [1064, 1, 7, 143], [1079, 1, 3, 61], [1106, 1, 5, 110], [1115, 1, 7, 135], [1147, 1, 13, 304], [1222, 1, 8, 140], [1223, 1, 5, 80], [1225, 1, 11, 223], [1252, 1, 7, 141], [1273, 1, 6, 107], [1300, 1, 9, 204], [1339, 1, 5, 159], [1362, 1, 4, 106], [1398, 1, 11, 144]]
magnu:	2	[[290, 1, 6, 89], [520, 8, 8, 162]]
mahoni:	1	[[1248, 1, 12, 265]]
maillard:	1	[[205, 1, 9, 205]]
main:	55	[[50, 1, 5, 110], [59, 1, 8, 169], [73, 2, 5, 219], [77, 1, 15, 255], [116, 1, 5, 110], [132, 1, 12, 226], [173, 1, 12, 220], [198, 1, 13, 208], [202, 1, 13, 207], [209, 1, 8, 162], [222, 1, 8, 141], [229, 2, 10, 156], [237, 2, 4, 103], [299, 1, 3, 95], [304, 1, 6, 201], [310, 1, 9, 120], [331, 1, 2, 62], [375, 2, 8, 162], [383, 1, 4, 86], [417, 1, 9, 310], [436, 1, 2, 54], [460, 1, 4, 80], [461, 1, 5, 73], [536, 1, 8, 215], [592, 1, 2, 59], [629, 1, 5, 86], [640, 1, 17, 241], [664, 1, 3, 58], [675, 1, 7, 203], [757, 1, 14, 233], [773, 1, 8, 224], [784, 1, 5, 145], [797, 1, 9, 241], [893, 1, 5, 80], [895, 1, 4, 74], [942, 1, 7, 99], [946, 3, 13, 249], [962, 3, 9, 283], [973, 1, 5, 85], [974, 2, 9, 141], [977, 1, 7, 155], [989, 2, 8, 155], [1063, 1, 5, 61], [1072, 2, 8, 264], [1081, 1, 6, 88], [1134, 1, 8, 191], [1206, 1, 4, 98], [1245, 1, 9, 112], [1265, 1, 8, 116], [1313, 1, 24, 459], [1325, 1, 10, 238], [1337, 1, 5, 109], [1356, 1, 10, 215], [1379, 1, 3, 80], [1382, 1, 10, 210]]
mainli:	21	[[44, 1, 7, 195], [85, 1, 12, 199], [122, 1, 8, 170], [131, 1, 9, 229], [151, 1, 11, 188], [207, 1, 6, 134], [221, 3, 9, 119], [342, 1, 7, 153], [390, 1, 4, 89], [392, 1, 7, 69], [472, 1, 5, 74], [607, 1, 2, 38], [610, 1, 7, 107], [792, 1, 7, 304], [798, 2, 15, 432], [800, 1, 6, 117], [813, 1, 6, 97], [865, 1, 4, 94], [976, 1, 14, 321], [1054, 1, 3, 88], [1198, 1, 6, 185]]
mainstream:	7	[[255, 2, 6, 132], [562, 2, 8, 151], [661, 1, 8, 149], [687, 1, 3, 73], [946, 1, 13, 249], [973, 1, 5, 85], [1364, 1, 8, 151]]
maintain:	22	[[202, 1, 13, 207], [211, 1, 9, 144], [236, 1, 6, 116], [244, 1, 19, 326], [337, 1, 3, 71], [352, 1, 5, 141], [416, 1, 5, 189], [480, 1, 2, 68], [520, 1, 8, 162], [560, 1, 8, 161], [642, 1, 4, 57], [740, 1, 9, 153], [752, 1, 7, 83], [754, 1, 5, 115], [784, 1, 5, 145], [1022, 1, 3, 51], [1128, 1, 7, 87], [1147, 1, 13, 304], [1225, 1, 11, 223], [1325, 3, 10, 238], [1340, 1, 6, 79], [1344, 1, 10, 157]]
mainten:	1	[[933, 1, 6, 192]]
major:	35	[[11, 1, 4, 77], [30, 1, 4, 88], [100, 1, 7, 167], [116, 1, 5, 110], [184, 1, 5, 104], [192, 1, 7, 133], [225, 2, 15, 264], [302, 2, 7, 98], [315, 1, 12, 343], [328, 1, 4, 203], [441, 1, 7, 192], [549, 1, 4, 55], [550, 1, 5, 95], [590, 1, 3, 55], [602, 1, 4, 90], [611, 1, 7, 120], [616, 1, 4, 96], [617, 1, 4, 71], [625, 1, 7, 216], [645, 1, 4, 110], [695, 1, 23, 257], [712, 1, 10, 223], [754, 1, 5, 115], [758, 1, 4, 94], [765, 2, 3, 100], [810, 1, 6, 128], [852, 1, 3, 106], [1089, 1, 6, 99], [1122, 1, 5, 139], [1182, 1, 8, 143], [1231, 2, 7, 136], [1326, 1, 6, 116], [1364, 1, 8, 151], [1382, 1, 10, 210], [1385, 2, 5, 115]]
majorminor:	1	[[897, 1, 4, 74]]
make:	50	[[17, 1, 5, 105], [56, 1, 6, 152], [94, 1, 11, 307], [97, 1, 13, 172], [117, 1, 3, 95], [151, 1, 11, 188], [155, 1, 8, 164], [168, 1, 6, 165], [170, 1, 10, 158], [220, 1, 5, 113], [244, 1, 19, 326], [249, 1, 5, 101], [308, 1, 6, 116], [315, 1, 12, 343], [321, 1, 3, 80], [359, 1, 4, 75], [432, 1, 13, 160], [443, 2, 6, 158], [486, 2, 9, 162], [498, 1, 7, 112], [514, 1, 3, 74], [522, 1, 9, 268], [526, 1, 6, 90], [554, 1, 7, 116], [575, 1, 5, 191], [592, 1, 2, 59], [606, 1, 5, 112], [656, 1, 6, 167], [677, 1, 7, 199], [752, 1, 7, 83], [798, 1, 15, 432], [845, 1, 9, 159], [849, 1, 4, 63], [858, 1, 10, 147], [874, 1, 14, 202], [909, 1, 3, 54], [948, 1, 10, 143], [981, 1, 5, 93], [983, 1, 3, 80], [1032, 1, 6, 79], [1041, 1, 6, 99], [1089, 1, 6, 99], [1117, 1, 3, 98], [1147, 1, 13, 304], [1182, 1, 8, 143], [1216, 1, 6, 135], [1221, 1, 3, 75], [1321, 1, 8, 201], [1336, 1, 7, 137], [1375, 1, 9, 209]]
malfunct:	1	[[908, 1, 9, 135]]
malvestuto:	1	[[60, 1, 5, 104]]
man:	7	[[83, 2, 8, 213], [164, 1, 8, 215], [275, 1, 5, 92], [649, 1, 6, 170], [716, 1, 4, 70], [1348, 1, 4, 65], [1379, 1, 3, 80]]
manag:	1	[[834, 1, 4, 49]]
manchest:	4	[[3, 2, 2, 28], [129, 1, 11, 176], [177, 1, 11, 171], [962, 1, 9, 283]]
maneuv:	8	[[14, 1, 8, 271], [163, 2, 10, 281], [210, 1, 12, 221], [374, 2, 3, 79], [599, 1, 10, 170], [806, 1, 8, 194], [1005, 1, 3, 84], [1168, 1, 5, 91]]
mang:	1	[[1192, 1, 4, 93]]
mangler:	9	[[94, 3, 11, 307], [222, 1, 8, 141], [333, 1, 4, 56], [349, 1, 9, 170], [601, 1, 6, 163], [662, 1, 9, 251], [683, 1, 8, 195], [917, 1, 7, 220], [1301, 1, 6, 120]]
manifest:	5	[[193, 1, 15, 298], [550, 1, 5, 95], [563, 1, 7, 185], [718, 1, 6, 116], [1220, 1, 6, 154]]
manner:	59	[[32, 1, 6, 124], [73, 1, 5, 219], [77, 1, 15, 255], [106, 1, 3, 50], [122, 1, 8, 170], [124, 1, 6, 151], [174, 1, 13, 210], [207, 1, 6, 134], [316, 1, 3, 71], [335, 1, 5, 78], [353, 1, 6, 115], [365, 1, 5, 128], [368, 1, 6, 93], [463, 1, 3, 79], [469, 1, 3, 74], [500, 1, 4, 79], [510, 1, 4, 50], [548, 1, 13, 227], [560, 1, 8, 161], [581, 1, 4, 66], [584, 1, 5, 93], [585, 1, 4, 81], [613, 1, 4, 93], [614, 1, 5, 146], [626, 1, 8, 129], [667, 1, 9, 180], [707, 1, 7, 160], [717, 1, 10, 256], [799, 1, 8, 182], [801, 1, 7, 150], [810, 2, 6, 128], [825, 1, 9, 168], [826, 1, 10, 221], [828, 2, 9, 151], [831, 1, 4, 70], [844, 1, 6, 152], [846, 1, 9, 162], [851, 1, 5, 89], [858, 1, 10, 147], [897, 1, 4, 74], [927, 1, 12, 290], [935, 1, 2, 51], [937, 1, 4, 83], [962, 1, 9, 283], [987, 1, 8, 176], [992, 1, 14, 231], [1023, 1, 3, 39], [1037, 1, 3, 58], [1040, 1, 14, 364], [1047, 2, 11, 260], [1057, 1, 7, 106], [1227, 1, 4, 61], [1262, 1, 4, 88], [1264, 1, 8, 163], [1268, 1, 10, 247], [1304, 1, 5, 108], [1340, 1, 6, 79], [1373, 1, 9, 201], [1390, 1, 4, 117]]
manocuvr:	1	[[899, 1, 8, 124]]
manoeuvr:	3	[[368, 1, 6, 93], [510, 1, 4, 50], [516, 1, 5, 79]]
manomet:	1	[[529, 1, 8, 198]]
mansfield:	2	[[737, 1, 6, 68], [877, 1, 4, 48]]
manufactur:	3	[[211, 1, 9, 144], [212, 1, 10, 259], [935, 1, 2, 51]]
map:	11	[[85, 1, 12, 199], [404, 2, 10, 108], [432, 1, 13, 160], [504, 1, 10, 143], [543, 1, 6, 63], [589, 1, 13, 163], [599, 1, 10, 170], [787, 1, 7, 112], [1197, 1, 6, 109], [1208, 1, 4, 84], [1223, 1, 5, 80]]
mar:	3	[[163, 2, 10, 281], [164, 1, 8, 215], [717, 1, 10, 256]]
marbl:	2	[[34, 1, 6, 132], [1072, 1, 8, 264]]
march:	10	[[351, 1, 3, 97], [409, 1, 3, 75], [509, 1, 4, 57], [598, 1, 3, 51], [656, 1, 6, 167], [970, 1, 8, 141], [981, 1, 5, 93], [1187, 1, 7, 93], [1317, 1, 3, 39], [1322, 1, 5, 157]]
margin:	5	[[416, 1, 5, 189], [516, 1, 5, 79], [576, 2, 13, 324], [588, 2, 14, 224], [948, 1, 10, 143]]
marguerr:	3	[[929, 1, 5, 111], [1036, 1, 4, 82], [1294, 1, 7, 143]]
marin:	1	[[1012, 2, 4, 102]]
mario:	1	[[583, 1, 4, 101]]
maritim:	1	[[649, 3, 6, 170]]
mark:	12	[[125, 1, 9, 156], [145, 1, 4, 87], [146, 1, 12, 168], [170, 1, 10, 158], [245, 1, 9, 111], [252, 1, 8, 188], [441, 1, 7, 192], [531, 1, 5, 88], [605, 1, 6, 123], [658, 1, 11, 173], [897, 1, 4, 74], [912, 1, 5, 118]]
markedli:	5	[[163, 1, 10, 281], [187, 1, 10, 204], [481, 1, 3, 83], [484, 1, 9, 199], [519, 1, 9, 127]]
marron:	2	[[401, 1, 9, 234], [1264, 1, 8, 163]]
marsden:	1	[[222, 1, 8, 141]]
martellucci:	1	[[1262, 1, 4, 88]]
martian:	2	[[717, 2, 10, 256], [1000, 1, 4, 150]]
martin:	5	[[527, 1, 3, 72], [620, 1, 7, 186], [967, 1, 4, 96], [1188, 1, 6, 145], [1257, 1, 4, 108]]
maryland:	1	[[350, 1, 6, 60]]
masi:	1	[[405, 1, 2, 41]]
mask:	2	[[113, 2, 5, 90], [338, 1, 6, 121]]
maskel:	2	[[229, 1, 10, 156], [230, 1, 8, 148]]
maslen:	6	[[21, 1, 3, 52], [22, 1, 4, 79], [306, 1, 6, 110], [318, 1, 5, 107], [629, 1, 5, 86], [966, 1, 9, 167]]
mass:	70	[[16, 1, 6, 96], [17, 1, 5, 105], [32, 2, 6, 124], [44, 1, 7, 195], [69, 1, 5, 104], [77, 2, 15, 255], [84, 4, 7, 129], [89, 1, 9, 274], [100, 1, 7, 167], [121, 1, 5, 95], [123, 5, 7, 178], [125, 1, 9, 156], [128, 1, 6, 117], [151, 1, 11, 188], [166, 2, 5, 114], [173, 1, 12, 220], [183, 1, 5, 104], [216, 1, 9, 184], [274, 3, 6, 175], [303, 1, 4, 68], [305, 3, 5, 113], [337, 1, 3, 71], [338, 2, 6, 121], [344, 4, 11, 284], [353, 2, 6, 115], [355, 1, 5, 75], [364, 1, 10, 251], [365, 2, 5, 128], [366, 1, 7, 129], [380, 1, 3, 85], [414, 1, 6, 128], [442, 1, 7, 153], [480, 2, 2, 68], [481, 1, 3, 83], [525, 3, 4, 87], [540, 1, 7, 137], [553, 1, 7, 124], [569, 1, 7, 202], [576, 1, 13, 324], [577, 1, 3, 70], [592, 1, 2, 59], [595, 1, 9, 154], [599, 2, 10, 170], [608, 1, 5, 100], [623, 3, 7, 149], [625, 1, 7, 216], [645, 2, 4, 110], [646, 1, 7, 193], [701, 2, 12, 188], [747, 1, 5, 90], [764, 1, 8, 117], [773, 2, 8, 224], [874, 1, 14, 202], [1007, 1, 5, 110], [1010, 1, 7, 110], [1036, 1, 4, 82], [1061, 1, 4, 208], [1112, 2, 10, 97], [1139, 2, 7, 80], [1154, 2, 10, 179], [1159, 1, 6, 96], [1185, 4, 5, 110], [1199, 1, 5, 176], [1216, 1, 6, 135], [1241, 3, 5, 115], [1270, 1, 4, 103], [1290, 2, 8, 149], [1317, 1, 3, 39], [1328, 2, 8, 161], [1369, 1, 2, 45]]
massachusett:	1	[[719, 1, 5, 124]]
massbal:	1	[[746, 1, 4, 96]]
massbalanc:	1	[[643, 1, 5, 98]]
master:	1	[[1376, 1, 5, 58]]
mat:	3	[[271, 1, 2, 36], [413, 1, 4, 110], [931, 1, 4, 48]]
match:	15	[[128, 2, 6, 117], [138, 1, 7, 158], [149, 1, 10, 190], [215, 1, 5, 59], [305, 1, 5, 113], [370, 1, 4, 139], [569, 1, 7, 202], [576, 2, 13, 324], [588, 2, 14, 224], [590, 2, 3, 55], [644, 1, 6, 131], [1198, 1, 6, 185], [1251, 2, 9, 135], [1270, 1, 4, 103], [1307, 1, 8, 203]]
